Date,Hour Slot,Outdoor Steps,Basic Steps
"Friday, August 2, 2019",8pm-9pm,1655,
"Friday, August 2, 2019",9pm-10pm,,32
"Friday, August 2, 2019",10pm-11pm,17,
"Friday, August 2, 2019",11pm-12am,,
"Saturday, August 3, 2019",12am-1am,,
"Saturday, August 3, 2019",1am-2am,,
"Saturday, August 3, 2019",2am-3am,,
"Saturday, August 3, 2019",3am-4am,,
"Saturday, August 3, 2019",4am-5am,,
"Saturday, August 3, 2019",5am-6am,166,
"Saturday, August 3, 2019",6am-7am,881,
"Saturday, August 3, 2019",7am-8am,2266,
"Saturday, August 3, 2019",8am-9am,1273,
"Saturday, August 3, 2019",9am-10am,144,
"Saturday, August 3, 2019",10am-11am,13,
"Saturday, August 3, 2019",11am-12pm,,
"Saturday, August 3, 2019",12pm-1pm,,
"Saturday, August 3, 2019",1pm-2pm,,
"Saturday, August 3, 2019",2pm-3pm,17,
"Saturday, August 3, 2019",3pm-4pm,,
"Saturday, August 3, 2019",4pm-5pm,101,
"Saturday, August 3, 2019",5pm-6pm,61,15
"Saturday, August 3, 2019",6pm-7pm,,
"Saturday, August 3, 2019",7pm-8pm,1199,38
"Saturday, August 3, 2019",8pm-9pm,1530,81
"Saturday, August 3, 2019",9pm-10pm,1484,729
"Saturday, August 3, 2019",10pm-11pm,3061,
"Saturday, August 3, 2019",11pm-12am,26,
"Sunday, August 4, 2019",12am-1am,,
"Sunday, August 4, 2019",1am-2am,,
"Sunday, August 4, 2019",2am-3am,,
"Sunday, August 4, 2019",3am-4am,,
"Sunday, August 4, 2019",4am-5am,,
"Sunday, August 4, 2019",5am-6am,,
"Sunday, August 4, 2019",6am-7am,5539,
"Sunday, August 4, 2019",7am-8am,2197,151
"Sunday, August 4, 2019",8am-9am,51,
"Sunday, August 4, 2019",9am-10am,2747,
"Sunday, August 4, 2019",10am-11am,534,
"Sunday, August 4, 2019",11am-12pm,,
"Sunday, August 4, 2019",12pm-1pm,,
"Sunday, August 4, 2019",1pm-2pm,1474,
"Sunday, August 4, 2019",2pm-3pm,69,
"Sunday, August 4, 2019",3pm-4pm,1088,1118
"Sunday, August 4, 2019",4pm-5pm,532,664
"Sunday, August 4, 2019",5pm-6pm,341,28
"Sunday, August 4, 2019",6pm-7pm,18,
"Sunday, August 4, 2019",7pm-8pm,36,
"Sunday, August 4, 2019",8pm-9pm,270,
"Sunday, August 4, 2019",9pm-10pm,,
"Sunday, August 4, 2019",10pm-11pm,,
"Sunday, August 4, 2019",11pm-12am,,
"Monday, August 5, 2019",12am-1am,,
"Monday, August 5, 2019",1am-2am,,
"Monday, August 5, 2019",2am-3am,,
"Monday, August 5, 2019",3am-4am,,
"Monday, August 5, 2019",4am-5am,,
"Monday, August 5, 2019",5am-6am,209,
"Monday, August 5, 2019",6am-7am,1186,
"Monday, August 5, 2019",7am-8am,783,
"Monday, August 5, 2019",8am-9am,2940,
"Monday, August 5, 2019",9am-10am,291,
"Monday, August 5, 2019",10am-11am,156,
"Monday, August 5, 2019",11am-12pm,33,255
"Monday, August 5, 2019",12pm-1pm,413,
"Monday, August 5, 2019",1pm-2pm,39,
"Monday, August 5, 2019",2pm-3pm,52,
"Monday, August 5, 2019",3pm-4pm,255,
"Monday, August 5, 2019",4pm-5pm,,258
"Monday, August 5, 2019",5pm-6pm,,89
"Monday, August 5, 2019",6pm-7pm,28,
"Monday, August 5, 2019",7pm-8pm,,
"Monday, August 5, 2019",8pm-9pm,1255,593
"Monday, August 5, 2019",9pm-10pm,2501,993
"Monday, August 5, 2019",10pm-11pm,749,
"Monday, August 5, 2019",11pm-12am,,
"Tuesday, August 6, 2019",12am-1am,,
"Tuesday, August 6, 2019",1am-2am,,
"Tuesday, August 6, 2019",2am-3am,,
"Tuesday, August 6, 2019",3am-4am,,
"Tuesday, August 6, 2019",4am-5am,,
"Tuesday, August 6, 2019",5am-6am,,
"Tuesday, August 6, 2019",6am-7am,1044,
"Tuesday, August 6, 2019",7am-8am,901,
"Tuesday, August 6, 2019",8am-9am,2824,
"Tuesday, August 6, 2019",9am-10am,149,
"Tuesday, August 6, 2019",10am-11am,251,242
"Tuesday, August 6, 2019",11am-12pm,343,
"Tuesday, August 6, 2019",12pm-1pm,806,
"Tuesday, August 6, 2019",1pm-2pm,,
"Tuesday, August 6, 2019",2pm-3pm,289,
"Tuesday, August 6, 2019",3pm-4pm,177,
"Tuesday, August 6, 2019",4pm-5pm,,106
"Tuesday, August 6, 2019",5pm-6pm,,
"Tuesday, August 6, 2019",6pm-7pm,324,
"Tuesday, August 6, 2019",7pm-8pm,3151,646
"Tuesday, August 6, 2019",8pm-9pm,2465,
"Tuesday, August 6, 2019",9pm-10pm,2185,
"Tuesday, August 6, 2019",10pm-11pm,397,
"Tuesday, August 6, 2019",11pm-12am,,
"Wednesday, August 7, 2019",12am-1am,,
"Wednesday, August 7, 2019",1am-2am,,
"Wednesday, August 7, 2019",2am-3am,,
"Wednesday, August 7, 2019",3am-4am,,
"Wednesday, August 7, 2019",4am-5am,,
"Wednesday, August 7, 2019",5am-6am,,
"Wednesday, August 7, 2019",6am-7am,1041,
"Wednesday, August 7, 2019",7am-8am,785,
"Wednesday, August 7, 2019",8am-9am,1682,
"Wednesday, August 7, 2019",9am-10am,,
"Wednesday, August 7, 2019",10am-11am,143,467
"Wednesday, August 7, 2019",11am-12pm,310,
"Wednesday, August 7, 2019",12pm-1pm,,
"Wednesday, August 7, 2019",1pm-2pm,,
"Wednesday, August 7, 2019",2pm-3pm,,
"Wednesday, August 7, 2019",3pm-4pm,1369,
"Wednesday, August 7, 2019",4pm-5pm,,
"Wednesday, August 7, 2019",5pm-6pm,,396
"Wednesday, August 7, 2019",6pm-7pm,,
"Wednesday, August 7, 2019",7pm-8pm,,
"Wednesday, August 7, 2019",8pm-9pm,1916,
"Wednesday, August 7, 2019",9pm-10pm,,
"Wednesday, August 7, 2019",10pm-11pm,,
"Wednesday, August 7, 2019",11pm-12am,,
"Thursday, August 8, 2019",12am-1am,,
"Thursday, August 8, 2019",1am-2am,,
"Thursday, August 8, 2019",2am-3am,,
